440m scale (letters, e=empty, r=road, g=green/park)
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,0,0,0,r,0,0,0,r,1,1,1,r,2,2,2
r,0,g,0,r,0,g,0,r,1,e,1,r,2,e,2
r,0,0,0,r,0,0,0,r,1,1,1,r,2,2,2
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,0,0,0,r,0,0,0,r,1,1,1,r,2,2,2
r,0,g,0,r,0,g,0,r,1,e,1,r,2,e,2
r,0,0,0,r,0,0,0,r,1,1,1,r,2,2,2
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,3,3,3,r,3,3,3,r,4,4,4,r,5,5,5
r,3,e,3,r,3,e,3,r,4,g,4,r,5,g,5
r,3,3,3,r,3,3,3,r,4,4,4,r,5,5,5
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,3,3,3,r,3,3,3,r,4,4,4,r,5,5,5
r,3,e,3,r,3,e,3,r,4,g,4,r,5,g,5
r,3,3,3,r,3,3,3,r,4,4,4,r,5,5,5

440m scale (module id)
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,0,0,0,6,0,0,0,6,1,1,1,6,2,2,2
6,0,7,0,6,0,7,0,6,1,-1,1,6,2,-1,2
6,0,0,0,6,0,0,0,6,1,1,1,6,2,2,2
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,0,0,0,6,0,0,0,6,1,1,1,6,2,2,2
6,0,7,0,6,0,7,0,6,1,-1,1,6,2,-1,2
6,0,0,0,6,0,0,0,6,1,1,1,6,2,2,2
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,3,3,3,6,3,3,3,6,4,4,4,6,5,5,5
6,3,-1,3,6,3,-1,3,6,4,7,4,6,5,7,5
6,3,3,3,6,3,3,3,6,4,4,4,6,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,3,3,3,6,3,3,3,6,4,4,4,6,5,5,5
6,3,-1,3,6,3,-1,3,6,4,7,4,6,5,7,5
6,3,3,3,6,3,3,3,6,4,4,4,6,5,5,5

1760m scale (letters, e=empty, r=road, g=green/park)
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
e,e,e,e,g,g,g,g,0,0,1,2,3,3,4,5
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g
0,0,1,2,3,3,4,5,e,e,e,e,g,g,g,g

1760m scale (module id)
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
-1,-1,-1,-1,7,7,7,7,0,0,1,2,3,3,4,5
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
0,0,1,2,3,3,4,5,-1,-1,-1,-1,7,7,7,7
